reporting_week,reporting_date,product_pillar,product_group,gross_revenue_actual,net_revenue_actual,gross_revenue_budget,net_revenue_budget,gross_revenue_2_10_forecast,net_revenue_2_10_forecast
2024-07-08,2024-07-08,Money Management,issuing,299353.0308,146949.0996,,,,
2024-12-09,2024-12-12,Money Management,issuing,542849.5741,245652.392,,,,
2025-01-13,2025-01-14,Money Management,issuing,427555.2401,140519.8305,,,,
2023-01-09,2023-01-13,Money Management,issuing,299944.1784,111425.6194,,,,
2024-04-15,2024-04-17,Money Management,issuing,437931.0964,239305.7911,,,,
2023-12-11,2023-12-13,Money Management,issuing,374318.0908,123819.0713,,,,
2026-01-19,2026-01-22,Money Management,issuing,689437.4106,303377.1067,549404.9658,246355.5674,,
2026-01-05,2026-01-09,Money Management,issuing,703605.3287,309611.4972,574457.5519,257589.2555,,
2026-02-02,2026-02-04,Money Management,issuing,800435.205,375799.337,688838.0791,312498.9203,,
2023-08-28,2023-08-28,Money Management,issuing,229298.1254,157621.6762,,,,
